package	version	architecture	priority	essential	installed_size_kib	owned_executable_or_elf_files	selection
libapt-pkg7.0	3.0.3	i386	optional	no	3917	1	minbase/dependency
libattr1	1:2.5.2-3	i386	optional	no	56	1	minbase/dependency
libaudit-common	1:4.0.2-2	all	optional	no	25	0	minbase/dependency
libaudit1	1:4.0.2-2+b2	i386	optional	no	171	1	minbase/dependency
libblkid1	2.41-5	i386	optional	no	488	1	minbase/dependency
libbpf1	1:1.5.0-3	i386	optional	no	499	1	minbase/dependency
libbsd0	0.12.2-2	i386	optional	no	213	1	minbase/dependency
libbz2-1.0	1.0.8-6	i386	optional	no	100	1	minbase/dependency
libc-bin	2.41-12+deb13u3	i386	required	yes	2148	12	minbase/dependency
libc6	2.41-12+deb13u3	i386	optional	no	12437	272	minbase/dependency
libcap-ng0	0.8.5-4+b1	i386	optional	no	62	2	minbase/dependency
libcap2	1:2.75-10+deb13u1+b1	i386	optional	no	90	2	minbase/dependency
libcap2-bin	1:2.75-10+deb13u1+b1	i386	important	no	122	4	minbase/dependency
libcom-err2	1.47.2-3+b11	i386	optional	no	60	1	minbase/dependency
libcrypt1	1:4.4.38-1	i386	optional	no	254	1	minbase/dependency
libdb5.3t64	5.3.28+dfsg2-9	i386	optional	no	2080	1	minbase/dependency
libdebconfclient0	0.280	i386	optional	no	37	1	minbase/dependency
libelf1t64	0.192-4	i386	optional	no	1243	1	minbase/dependency
libext2fs2t64	1.47.2-3+b11	i386	optional	no	618	2	minbase/dependency
libgcc-s1	14.2.0-19	i386	optional	no	235	1	minbase/dependency
libgmp10	2:6.3.0+dfsg-3	i386	optional	no	912	1	minbase/dependency
libgssapi-krb5-2	1.21.3-5+deb13u1	i386	optional	no	467	1	minbase/dependency
libhogweed6t64	3.10.1-1	i386	optional	no	478	1	minbase/dependency
libk5crypto3	1.21.3-5+deb13u1	i386	optional	no	273	1	minbase/dependency
libkeyutils1	1.6.3-6	i386	optional	no	45	1	minbase/dependency
libkmod2	34.2-2	i386	optional	no	155	1	minbase/dependency
libkrb5-3	1.21.3-5+deb13u1	i386	optional	no	1096	2	minbase/dependency
libkrb5support0	1.21.3-5+deb13u1	i386	optional	no	136	1	minbase/dependency
liblastlog2-2	2.41-5	i386	optional	no	79	1	minbase/dependency
liblz4-1	1.10.0-4	i386	optional	no	172	1	minbase/dependency
liblzma5	5.8.1-1+deb13u1	i386	optional	no	458	1	minbase/dependency
libmd0	1.1.0-2+b1	i386	optional	no	101	1	minbase/dependency
libmnl0	1.0.5-3	i386	optional	no	45	1	minbase/dependency
libmount1	2.41-5	i386	optional	no	636	1	minbase/dependency
libnettle8t64	3.10.1-1	i386	optional	no	557	1	minbase/dependency
libpam-modules	1.7.0-5	i386	required	no	952	45	minbase/dependency
libpam-modules-bin	1.7.0-5	i386	required	no	192	7	minbase/dependency
libpam-runtime	1.7.0-5	all	required	no	1028	2	minbase/dependency
libpam0g	1.7.0-5	i386	optional	no	196	3	minbase/dependency
libpcre2-8-0	10.46-1~deb13u1	i386	optional	no	789	1	minbase/dependency
libseccomp2	2.6.0-2	i386	optional	no	208	1	minbase/dependency
libselinux1	3.8.1-1	i386	optional	no	244	1	minbase/dependency
libsemanage-common	3.8.1-1	all	optional	no	21	0	minbase/dependency
libsemanage2	3.8.1-1	i386	optional	no	341	1	minbase/dependency
libsepol2	3.8.1-1	i386	optional	no	942	1	minbase/dependency
libsmartcols1	2.41-5	i386	optional	no	404	1	minbase/dependency
libsqlite3-0	3.46.1-7+deb13u1	i386	optional	no	2034	1	minbase/dependency
libss2	1.47.2-3+b11	i386	optional	no	76	1	minbase/dependency
libssl3t64	3.5.6-1~deb13u2	i386	optional	no	7106	5	minbase/dependency
libstdc++6	14.2.0-19	i386	optional	no	3027	1	minbase/dependency
libsystemd-shared	257.13-1~deb13u1	i386	optional	no	7101	2	minbase/dependency
libsystemd0	257.13-1~deb13u1	i386	optional	no	1273	1	minbase/dependency
libtinfo6	6.5+20250216-2	i386	optional	no	543	2	minbase/dependency
libtirpc-common	1.3.6+ds-1	all	optional	no	32	0	minbase/dependency
libtirpc3t64	1.3.6+ds-1	i386	optional	no	259	1	minbase/dependency
libudev1	257.13-1~deb13u1	i386	optional	no	332	1	minbase/dependency
libuuid1	2.41-5	i386	optional	no	97	1	minbase/dependency
libxtables12	1.8.11-2	i386	optional	no	101	1	minbase/dependency
libxxhash0	0.8.3-2	i386	optional	no	132	1	minbase/dependency
libzstd1	1.5.7+dfsg-1	i386	optional	no	883	1	minbase/dependency
login	1:4.16.0-2+really2.41-5	i386	required	no	273	3	minbase/dependency
login.defs	1:4.17.4-2	all	required	no	214	0	minbase/dependency
logsave	1.47.2-3+b11	i386	optional	no	58	1	minbase/dependency
mawk	1.3.4.20250131-1	i386	required	no	307	11	minbase/dependency
mount	2.41-5	i386	required	no	503	5	minbase/dependency
ncurses-base	6.5+20250216-2	all	required	yes	389	0	minbase/dependency
ncurses-bin	6.5+20250216-2	i386	required	yes	650	7	minbase/dependency
openssl	3.5.6-1~deb13u2	i386	optional	no	2484	4	minbase/dependency
openssl-provider-legacy	3.5.6-1~deb13u2	i386	optional	no	392	1	minbase/dependency
passwd	1:4.17.4-2	i386	required	no	4790	24	minbase/dependency
perl-base	5.40.1-6	i386	required	yes	8080	12	minbase/dependency
sed	4.9-2+deb13u1	i386	required	yes	994	1	minbase/dependency
sqv	1.3.0-3+b2	i386	optional	no	3517	1	minbase/dependency
startpar	0.66-1	i386	optional	no	63	1	minbase/dependency
systemd	257.13-1~deb13u1	i386	important	no	9662	98	minbase/dependency
sysv-rc	3.14-4	all	optional	no	91	2	minbase/dependency
sysvinit-core	3.14-4	i386	optional	no	361	4	explicit --include
sysvinit-utils	3.14-4	i386	required	yes	102	3	minbase/dependency
tar	1.35+dfsg-3.1	i386	required	yes	3137	3	minbase/dependency
tzdata	2026b-0+deb13u1	all	required	no	1361	0	minbase/dependency
udev	257.13-1~deb13u1	i386	important	no	10183	14	explicit --include
util-linux	2.41-5	i386	required	yes	5081	63	minbase/dependency
zlib1g	1:1.3.dfsg+really1.3.1-1+b1	i386	optional	no	160	1	minbase/dependency
